Borough,Date,Rent,Year
New York City,2016-06,2850.0,2016
Queens,2016-06,1856.67,2016
Staten Island,2016-06,2140.0,2016
Bronx,2016-07,1492.5,2016
Brooklyn,2016-07,2175.15,2016
Manhattan,2016-07,3242.22,2016
New York City,2016-07,2800.0,2016
Queens,2016-07,1865.05,2016
Staten Island,2016-07,2140.0,2016
Bronx,2016-08,1503.92,2016
Brooklyn,2016-08,2189.3,2016
Manhattan,2016-08,3195.22,2016
New York City,2016-08,2792.0,2016
Queens,2016-08,1865.32,2016
Staten Island,2016-08,1500.0,2016
Bronx,2016-09,1474.08,2016
Brooklyn,2016-09,2209.21,2016
Manhattan,2016-09,3207.36,2016
New York City,2016-09,2750.0,2016
Queens,2016-09,1869.48,2016
Staten Island,2016-09,1500.0,2016
Bronx,2016-10,1467.64,2016
Brooklyn,2016-10,2158.34,2016
Manhattan,2016-10,3220.69,2016
New York City,2016-10,2746.0,2016
Queens,2016-10,1829.7,2016
Staten Island,2016-10,1500.0,2016
Bronx,2016-11,1465.87,2016
Brooklyn,2016-11,2139.27,2016
Manhattan,2016-11,3173.23,2016
New York City,2016-11,2700.0,2016
Queens,2016-11,1850.3,2016
Staten Island,2016-11,1500.0,2016
Bronx,2016-12,1456.33,2016
Brooklyn,2016-12,2145.62,2016
Manhattan,2016-12,3138.94,2016
New York City,2016-12,2700.0,2016
Queens,2016-12,1840.09,2016
Staten Island,2016-12,1500.0,2016
Bronx,2017-01,1492.5,2017
Brooklyn,2017-01,2146.52,2017
Manhattan,2017-01,3132.0,2017
New York City,2017-01,2650.0,2017
Queens,2017-01,1809.72,2017
Staten Island,2017-01,1500.0,2017
Bronx,2017-02,1468.93,2017
Brooklyn,2017-02,2132.22,2017
Manhattan,2017-02,3150.89,2017
New York City,2017-02,2600.0,2017
Queens,2017-02,1807.52,2017
Staten Island,2017-02,1600.0,2017
Bronx,2017-03,1482.15,2017
Brooklyn,2017-03,2112.66,2017
Manhattan,2017-03,3153.53,2017
New York City,2017-03,2600.0,2017
Queens,2017-03,1832.04,2017
Staten Island,2017-03,1500.0,2017
Bronx,2017-04,1520.54,2017
Brooklyn,2017-04,2131.48,2017
Manhattan,2017-04,3164.94,2017
New York City,2017-04,2611.0,2017
Queens,2017-04,1847.05,2017
Staten Island,2017-04,1500.0,2017
Bronx,2017-05,1539.0,2017
Brooklyn,2017-05,2149.95,2017
Manhattan,2017-05,3171.17,2017
New York City,2017-05,2600.0,2017
Queens,2017-05,1851.81,2017
Staten Island,2017-05,1500.0,2017
Bronx,2017-06,1535.67,2017
Brooklyn,2017-06,2142.02,2017
Manhattan,2017-06,3156.36,2017
New York City,2017-06,2600.0,2017
Queens,2017-06,1832.74,2017
Staten Island,2017-06,1500.0,2017
Bronx,2017-07,1534.93,2017
Brooklyn,2017-07,2133.09,2017
Manhattan,2017-07,3171.69,2017
New York City,2017-07,2595.0,2017
Queens,2017-07,1828.31,2017
Staten Island,2017-07,1500.0,2017
Bronx,2017-08,1574.91,2017
Brooklyn,2017-08,2164.71,2017
Manhattan,2017-08,3184.29,2017
New York City,2017-08,2700.0,2017
Queens,2017-08,1895.8,2017
Staten Island,2017-08,1745.0,2017
Bronx,2017-09,1577.09,2017
Brooklyn,2017-09,2185.33,2017
Manhattan,2017-09,3134.67,2017
New York City,2017-09,2695.0,2017
Queens,2017-09,1870.1,2017
Staten Island,2017-09,1395.0,2017
Bronx,2017-10,1563.0,2017
Brooklyn,2017-10,2169.43,2017
Manhattan,2017-10,3107.78,2017
New York City,2017-10,2650.0,2017
Queens,2017-10,1823.48,2017
Staten Island,2017-10,1550.0,2017
Bronx,2017-11,1568.0,2017
Brooklyn,2017-11,2156.51,2017
Manhattan,2017-11,3079.72,2017
New York City,2017-11,2587.0,2017
Queens,2017-11,1812.86,2017
Staten Island,2017-11,1600.0,2017
Bronx,2017-12,1578.1,2017
Brooklyn,2017-12,2151.95,2017
Manhattan,2017-12,3097.19,2017
New York City,2017-12,2595.0,2017
Queens,2017-12,1813.58,2017
Staten Island,2017-12,1600.0,2017
Bronx,2018-01,1596.12,2018
Brooklyn,2018-01,2154.22,2018
Manhattan,2018-01,3102.69,2018
New York City,2018-01,2571.0,2018
Queens,2018-01,1826.27,2018
Staten Island,2018-01,1600.0,2018
Bronx,2018-02,1594.56,2018
Brooklyn,2018-02,2146.67,2018
Manhattan,2018-02,3113.56,2018
New York City,2018-02,2550.0,2018
Queens,2018-02,1818.17,2018
Staten Island,2018-02,1600.0,2018
Bronx,2018-03,1569.4,2018
Brooklyn,2018-03,2156.57,2018
Manhattan,2018-03,3120.72,2018
New York City,2018-03,2595.0,2018
Queens,2018-03,1854.95,2018
Staten Island,2018-03,1600.0,2018
Bronx,2018-04,1581.38,2018
Brooklyn,2018-04,2159.98,2018
Manhattan,2018-04,3123.42,2018
New York City,2018-04,2600.0,2018
Queens,2018-04,1843.86,2018
Staten Island,2018-04,1513.0,2018
Bronx,2018-05,1594.56,2018
Brooklyn,2018-05,2188.31,2018
Manhattan,2018-05,3128.72,2018
New York City,2018-05,2599.0,2018
Queens,2018-05,1811.56,2018
Staten Island,2018-05,1500.0,2018
Bronx,2018-06,1585.73,2018
Brooklyn,2018-06,2203.47,2018
Manhattan,2018-06,3158.83,2018
New York City,2018-06,2600.0,2018
Queens,2018-06,1857.86,2018
Staten Island,2018-06,1695.0,2018
Bronx,2018-07,1615.89,2018
Brooklyn,2018-07,2242.98,2018
Manhattan,2018-07,3191.72,2018
New York City,2018-07,2600.0,2018
Queens,2018-07,1883.91,2018
Staten Island,2018-07,1929.0,2018
Bronx,2018-08,1625.83,2018
Brooklyn,2018-08,2215.68,2018
Manhattan,2018-08,3189.06,2018
New York City,2018-08,2600.0,2018
Queens,2018-08,1891.05,2018
Staten Island,2018-08,1550.0,2018
Bronx,2018-09,1665.89,2018
Brooklyn,2018-09,2197.53,2018
Manhattan,2018-09,3205.39,2018
New York City,2018-09,2550.0,2018
Queens,2018-09,1882.52,2018
Staten Island,2018-09,1790.0,2018
Bronx,2018-10,1607.45,2018
Brooklyn,2018-10,2193.31,2018
Manhattan,2018-10,3209.64,2018
New York City,2018-10,2500.0,2018
Queens,2018-10,1847.78,2018
Staten Island,2018-10,1450.0,2018
Bronx,2018-11,1622.38,2018
Brooklyn,2018-11,2182.5,2018
Manhattan,2018-11,3201.67,2018
New York City,2018-11,2495.0,2018
Queens,2018-11,1844.7,2018
Staten Island,2018-11,1600.0,2018
Bronx,2018-12,1593.08,2018
Brooklyn,2018-12,2233.88,2018
Manhattan,2018-12,3223.22,2018
New York City,2018-12,2495.0,2018
Queens,2018-12,1844.1,2018
Staten Island,2018-12,1550.0,2018
Bronx,2019-01,1604.25,2019
Brooklyn,2019-01,2206.68,2019
Manhattan,2019-01,3236.69,2019
New York City,2019-01,2500.0,2019
Queens,2019-01,1881.82,2019
Staten Island,2019-01,1450.0,2019
Bronx,2019-02,1616.45,2019
Brooklyn,2019-02,2242.4,2019
Manhattan,2019-02,3248.69,2019
New York City,2019-02,2550.0,2019
Queens,2019-02,1891.3,2019
Staten Island,2019-02,1595.0,2019
Bronx,2019-03,1654.83,2019
Brooklyn,2019-03,2230.76,2019
Manhattan,2019-03,3274.47,2019
New York City,2019-03,2595.0,2019
Queens,2019-03,1877.09,2019
Staten Island,2019-03,1600.0,2019
Bronx,2019-04,1680.45,2019
Brooklyn,2019-04,2242.0,2019
Manhattan,2019-04,3315.36,2019
New York City,2019-04,2650.0,2019
Queens,2019-04,1894.35,2019
Staten Island,2019-04,1600.0,2019
Bronx,2019-05,1657.92,2019
Brooklyn,2019-05,2279.29,2019
Manhattan,2019-05,3317.72,2019
New York City,2019-05,2650.0,2019
Queens,2019-05,1896.44,2019
Staten Island,2019-05,1600.0,2019
Bronx,2019-06,1672.75,2019
Brooklyn,2019-06,2313.4,2019
Manhattan,2019-06,3332.33,2019
New York City,2019-06,2695.0,2019
Queens,2019-06,1897.84,2019
Staten Island,2019-06,2275.0,2019
Bronx,2019-07,1648.44,2019
Brooklyn,2019-07,2300.45,2019
Manhattan,2019-07,3356.03,2019
New York City,2019-07,2695.0,2019
Queens,2019-07,1919.0,2019
Staten Island,2019-07,1848.0,2019
Bronx,2019-08,1670.88,2019
Brooklyn,2019-08,2318.91,2019
Manhattan,2019-08,3341.44,2019
New York City,2019-08,2700.0,2019
Queens,2019-08,1905.23,2019
Staten Island,2019-08,1699.0,2019
Bronx,2019-09,1699.71,2019
Brooklyn,2019-09,2334.36,2019
Manhattan,2019-09,3364.89,2019
New York City,2019-09,2725.0,2019
Queens,2019-09,1921.0,2019
Staten Island,2019-09,1798.0,2019
Bronx,2019-10,1674.17,2019
Brooklyn,2019-10,2326.84,2019
Manhattan,2019-10,3368.97,2019
New York City,2019-10,2714.0,2019
Queens,2019-10,1914.65,2019
Staten Island,2019-10,2120.0,2019
Bronx,2019-11,1699.36,2019
Brooklyn,2019-11,2343.73,2019
Manhattan,2019-11,3367.89,2019
New York City,2019-11,2700.0,2019
Queens,2019-11,1926.6,2019
Staten Island,2019-11,2154.0,2019
Bronx,2019-12,1712.9,2019
Brooklyn,2019-12,2338.37,2019
Manhattan,2019-12,3397.94,2019
New York City,2019-12,2704.0,2019
Queens,2019-12,1906.76,2019
Staten Island,2019-12,1990.0,2019
Bronx,2020-01,1753.5,2020
Brooklyn,2020-01,2394.0,2020
Manhattan,2020-01,3370.69,2020
New York City,2020-01,2800.0,2020
Queens,2020-01,1881.52,2020
Staten Island,2020-01,1795.0,2020
Bronx,2020-02,1740.17,2020
Brooklyn,2020-02,2406.81,2020
Manhattan,2020-02,3436.33,2020
New York City,2020-02,2850.0,2020
Queens,2020-02,1940.28,2020
Staten Island,2020-02,1735.0,2020
Bronx,2020-03,1820.67,2020
Brooklyn,2020-03,2462.62,2020
